epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,7174.04,1.24057,1.37535,1.66981,0.79313,0.66094,0.7041,0.41648,1.54783,1.23727,2.09015,0.002377,0.002377,0.002377
79,7238.89,1.23977,1.36686,1.66696,0.79051,0.66771,0.70557,0.41568,1.54796,1.23217,2.09096,0.002278,0.002278,0.002278
80,7308.96,1.2407,1.36469,1.66864,0.7725,0.67531,0.70528,0.41585,1.54805,1.23293,2.09167,0.002179,0.002179,0.002179
81,7381.1,1.23796,1.35009,1.66584,0.77986,0.6776,0.70638,0.41571,1.54838,1.23273,2.09182,0.00208,0.00208,0.00208
82,7453.95,1.23105,1.35085,1.65818,0.76837,0.6796,0.7072,0.41534,1.54745,1.23109,2.09152,0.001981,0.001981,0.001981
83,7527.24,1.22406,1.33639,1.65619,0.76718,0.68275,0.70739,0.41537,1.5476,1.22919,2.09027,0.001882,0.001882,0.001882
84,7600.79,1.22349,1.31826,1.65426,0.76821,0.68234,0.70676,0.41504,1.54905,1.22615,2.09173,0.001783,0.001783,0.001783
85,7674.15,1.22097,1.31018,1.6532,0.76074,0.68167,0.70621,0.41527,1.54902,1.22425,2.09169,0.001684,0.001684,0.001684
86,7746.53,1.21072,1.31752,1.64892,0.76496,0.68141,0.70572,0.41396,1.54953,1.22274,2.09161,0.001585,0.001585,0.001585
87,7819.14,1.20937,1.28919,1.63732,0.77595,0.68005,0.70691,0.41514,1.55021,1.21958,2.09178,0.001486,0.001486,0.001486
88,7892.82,1.20385,1.29796,1.63907,0.77043,0.67968,0.70614,0.41478,1.55052,1.21839,2.09243,0.001387,0.001387,0.001387
89,7965.43,1.20474,1.29554,1.63681,0.77588,0.68181,0.70924,0.41554,1.55147,1.21588,2.09343,0.001288,0.001288,0.001288
90,8037.81,1.2015,1.29145,1.63577,0.77638,0.68006,0.71008,0.41499,1.55191,1.21423,2.09404,0.001189,0.001189,0.001189
91,8110.96,1.1838,0.89695,1.76204,0.77439,0.68062,0.70919,0.41548,1.55157,1.21216,2.09444,0.00109,0.00109,0.00109
92,8178.13,1.15144,0.8429,1.73375,0.77769,0.68106,0.70971,0.41594,1.55216,1.21139,2.09524,0.000991,0.000991,0.000991
93,8241.11,1.14191,0.82414,1.71912,0.77695,0.68005,0.70981,0.41553,1.55199,1.21187,2.09532,0.000892,0.000892,0.000892
94,8305.14,1.12565,0.80919,1.70239,0.77487,0.67884,0.7089,0.41565,1.55202,1.2113,2.09549,0.000793,0.000793,0.000793
95,8368.28,1.11993,0.80113,1.69729,0.77349,0.68034,0.7085,0.41593,1.55192,1.2109,2.0963,0.000694,0.000694,0.000694
96,8432.19,1.10845,0.78446,1.68925,0.77477,0.68171,0.71007,0.41662,1.5518,1.21065,2.09657,0.000595,0.000595,0.000595
97,8495.59,1.09889,0.78305,1.6815,0.77897,0.67864,0.71011,0.41603,1.552,1.21076,2.09724,0.000496,0.000496,0.000496
98,8555.62,1.09518,0.77102,1.67985,0.78251,0.67849,0.70952,0.41604,1.55215,1.21115,2.09835,0.000397,0.000397,0.000397
99,8617.91,1.0907,0.76182,1.6668,0.77824,0.67626,0.7092,0.41544,1.55281,1.21147,2.09939,0.000298,0.000298,0.000298
100,8680.54,1.08193,0.75973,1.66498,0.77652,0.67681,0.70886,0.41579,1.55305,1.21299,2.10029,0.000199,0.000199,0.000199
