epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,6529.23,1.20604,1.18108,1.54693,0.82985,0.72978,0.77233,0.46126,1.47834,1.00979,1.95425,0.004555,0.004555,0.004555
57,6606.45,1.20402,1.18182,1.54336,0.84099,0.7285,0.77303,0.46545,1.47459,1.01035,1.95009,0.004456,0.004456,0.004456
58,6715.65,1.2074,1.17129,1.54234,0.82516,0.73115,0.77327,0.46734,1.47437,0.99325,1.94971,0.004357,0.004357,0.004357
59,6837.98,1.20302,1.15793,1.54283,0.82126,0.73213,0.77585,0.46959,1.46893,0.98776,1.94878,0.004258,0.004258,0.004258
60,6959.78,1.19375,1.16423,1.5423,0.80664,0.73853,0.77425,0.46858,1.46727,0.99289,1.95015,0.004159,0.004159,0.004159
61,7081.2,1.19289,1.14958,1.53813,0.84306,0.72826,0.77525,0.47011,1.46213,0.98566,1.94789,0.00406,0.00406,0.00406
62,7203.09,1.18494,1.13339,1.52892,0.83609,0.72867,0.77581,0.4737,1.46598,0.98687,1.95069,0.003961,0.003961,0.003961
63,7322.73,1.1779,1.12289,1.52597,0.83388,0.73137,0.77625,0.47329,1.46671,0.99434,1.95039,0.003862,0.003862,0.003862
64,7444.68,1.17751,1.1199,1.52306,0.83005,0.72998,0.77681,0.46836,1.47279,0.99111,1.95858,0.003763,0.003763,0.003763
65,7566.56,1.16315,1.09305,1.50941,0.81939,0.73686,0.77464,0.46755,1.47386,0.98837,1.95903,0.003664,0.003664,0.003664
66,7687.51,1.17094,1.09899,1.51887,0.82452,0.72703,0.77304,0.46739,1.47388,0.98654,1.95524,0.003565,0.003565,0.003565
67,7803.54,1.16156,1.09222,1.50568,0.84448,0.72298,0.7763,0.46818,1.47295,0.9814,1.95638,0.003466,0.003466,0.003466
68,7915.37,1.15437,1.08173,1.50115,0.82842,0.7276,0.7769,0.47045,1.47275,0.98631,1.95552,0.003367,0.003367,0.003367
69,8037.14,1.14375,1.07617,1.49969,0.84045,0.72327,0.77668,0.47146,1.47681,0.98261,1.96417,0.003268,0.003268,0.003268
70,8146.26,1.144,1.06146,1.49826,0.82484,0.73494,0.77951,0.47147,1.47705,0.97897,1.96762,0.003169,0.003169,0.003169
71,8231.27,1.14381,1.06356,1.49524,0.84948,0.71469,0.77914,0.47235,1.47208,0.97633,1.96142,0.00307,0.00307,0.00307
72,8352.57,1.1418,1.04801,1.49292,0.8541,0.71407,0.77835,0.47233,1.47064,0.97441,1.96145,0.002971,0.002971,0.002971
73,8456.29,1.13303,1.0429,1.49091,0.86843,0.70862,0.77808,0.47096,1.47298,0.97501,1.96485,0.002872,0.002872,0.002872
74,8558.69,1.1374,1.03577,1.48463,0.86091,0.71041,0.77916,0.47154,1.47271,0.97267,1.96537,0.002773,0.002773,0.002773
75,8677.53,1.11899,1.02546,1.47514,0.84455,0.72195,0.77939,0.47051,1.4759,0.97495,1.96821,0.002674,0.002674,0.002674
76,8800.48,1.11974,1.01577,1.47839,0.83982,0.72677,0.77964,0.46957,1.47823,0.97779,1.97024,0.002575,0.002575,0.002575
77,8923.38,1.10766,0.99991,1.46874,0.84671,0.72277,0.77848,0.47086,1.48026,0.98329,1.97372,0.002476,0.002476,0.002476
78,9046.38,1.10874,1.01625,1.46734,0.8468,0.72764,0.77783,0.47127,1.48108,0.98585,1.97503,0.002377,0.002377,0.002377
79,9169.14,1.09346,0.99376,1.45674,0.84827,0.72431,0.77644,0.46959,1.48347,0.98582,1.97841,0.002278,0.002278,0.002278
80,9290.86,1.1006,0.99372,1.4625,0.84266,0.72453,0.77604,0.46924,1.48457,0.98906,1.9806,0.002179,0.002179,0.002179
81,9411.62,1.09234,0.97675,1.45174,0.83661,0.72714,0.77592,0.47038,1.48713,0.9906,1.98446,0.00208,0.00208,0.00208
82,9534.41,1.09628,0.97733,1.45715,0.83642,0.72523,0.77603,0.47015,1.48846,0.99281,1.98543,0.001981,0.001981,0.001981
